Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Unit_Cost,Customer_Segment
ORD00035,2025-11-18,South,Office Supplies,Printer Paper,3,11.06,4.28,Consumer
ORD00036,2025-04-13,North,Electronics,USB-C Hub,3,35.97,18.91,Consumer
ORD00037,2026-01-14,South,Electronics,Mechanical Keyboard,5,90.16,49.42,Consumer
ORD00038,2025-11-03,Central,Accessories,Laptop Stand,2,46.44,23.44,Consumer
ORD00039,2025-10-16,West,Furniture,Bookshelf,5,153.34,93.36,Corporate
ORD00040,2025-09-15,Central,Accessories,Cable Organizer,2,15.7,5.29,Small Business
ORD00041,2025-12-08,West,Electronics,Wireless Mouse,6,23.11,12.09,Corporate
ORD00042,2025-04-25,North,Accessories,Laptop Stand,3,50.43,23.29,Small Business
ORD00043,2025-06-01,East,Accessories,Backpack,3,74.79,32.66,Consumer
ORD00044,2025-08-04,West,Electronics,24-inch Monitor,7,225.96,154.42,Corporate
ORD00045,2025-08-31,Central,Home & Kitchen,Electric Kettle,3,57.01,26.69,Small Business
ORD00046,2025-09-12,South,Office Supplies,Pen Pack,3,8.97,2.87,Corporate
ORD00047,2025-07-24,West,Home & Kitchen,Electric Kettle,3,56.37,29.77,Consumer
ORD00048,2025-07-17,South,Furniture,Office Chair,1,205.97,110.46,Consumer
ORD00049,2025-12-06,Central,Accessories,Cable Organizer,3,13.29,5.38,Consumer
ORD00050,2026-03-21,South,Electronics,Webcam,8,74.97,39.64,Corporate
ORD00051,2025-09-18,North,Home & Kitchen,Electric Kettle,5,57.47,28.56,Consumer
ORD00052,2026-03-18,North,Furniture,Bookshelf,7,151.47,91.19,Corporate
ORD00053,2026-06-04,South,Electronics,24-inch Monitor,4,222.48,148.2,Consumer
ORD00054,2026-01-24,West,Furniture,Desk Lamp,5,48.06,24.34,Small Business
ORD00055,2025-08-04,East,Office Supplies,Desk Organizer,12,23.63,10.07,Corporate
ORD00056,2025-06-23,West,Furniture,Desk Lamp,5,47.38,24.3,Consumer
ORD00057,2025-08-19,West,Furniture,Bookshelf,1,140.5,89.04,Consumer
ORD00058,2026-03-01,Central,Electronics,USB-C Hub,8,38.72,18.65,Corporate
ORD00059,2026-03-12,South,Electronics,Wireless Mouse,10,25.32,12.27,Corporate
ORD00060,2025-05-17,West,Electronics,USB-C Hub,10,39.49,20.4,Corporate
ORD00061,2026-04-02,Central,Home & Kitchen,Water Bottle,9,22.22,8.38,Corporate
ORD00062,2025-09-02,South,Office Supplies,Pen Pack,3,8.7,2.98,Consumer
ORD00063,2025-05-22,North,Accessories,Laptop Stand,2,52.0,21.08,Consumer
ORD00064,2026-04-23,East,Home & Kitchen,Storage Set,4,33.93,15.75,Consumer
ORD00065,2026-01-25,East,Electronics,Webcam,5,77.09,41.38,Small Business
ORD00066,2026-05-15,South,Home & Kitchen,Electric Kettle,1,51.88,29.03,Consumer
ORD00067,2026-04-24,Central,Home & Kitchen,Electric Kettle,1,57.27,28.75,Small Business
ORD00068,2026-03-15,North,Electronics,Wireless Mouse,1,24.3,11.91,Consumer
ORD00069,2025-12-12,West,Home & Kitchen,Storage Set,4,29.76,14.41,Consumer
ORD00070,2025-12-25,South,Accessories,Laptop Stand,1,48.27,23.62,Consumer
ORD00071,2025-06-06,South,Electronics,Webcam,1,74.36,38.16,Consumer
ORD00072,2025-06-21,West,Office Supplies,Desk Organizer,2,25.81,9.71,Small Business
ORD00073,2025-01-27,Central,Office Supplies,Notebook Set,8,15.99,6.26,Corporate
ORD00074,2025-09-06,North,Electronics,Webcam,12,74.89,37.66,Corporate
ORD00075,2025-12-22,East,Accessories,Laptop Stand,3,49.29,21.88,Corporate
ORD00076,2026-03-20,Central,Home & Kitchen,Coffee Maker,9,100.84,56.37,Corporate
ORD00077,2025-10-04,West,Accessories,Backpack,8,68.88,32.78,Small Business
ORD00078,2025-11-27,Central,Accessories,Cable Organizer,2,14.27,5.04,Small Business
ORD00079,2026-01-24,South,Accessories,Backpack,3,65.03,30.3,Consumer
ORD00080,2025-10-14,Central,Office Supplies,Desk Organizer,6,24.75,10.17,Corporate
ORD00081,2025-09-05,West,Furniture,Office Chair,2,195.75,115.8,Consumer
ORD00082,2025-01-18,North,Home & Kitchen,Water Bottle,2,21.59,8.2,Consumer
ORD00083,2026-03-12,Central,Home & Kitchen,Storage Set,7,36.06,14.78,Corporate
ORD00084,2025-05-04,West,Office Supplies,Printer Paper,5,12.21,4.16,Consumer
ORD00085,2026-05-11,South,Furniture,Standing Desk,10,405.35,274.75,Corporate
ORD00086,2025-08-21,South,Furniture,Bookshelf,5,137.07,84.12,Consumer
ORD00087,2025-10-27,West,Electronics,Webcam,4,67.72,37.11,Consumer
ORD00088,2026-05-06,East,Office Supplies,Pen Pack,1,8.73,,Consumer
ORD00089,2026-02-15,East,Electronics,Wireless Mouse,12,23.27,11.63,Corporate
ORD00090,2025-03-29,Central,Accessories,Cable Organizer,4,15.62,5.26,Consumer
ORD00091,2026-04-07,Central,Furniture,Desk Lamp,5,53.66,22.76,Consumer
ORD00092,2025-04-12,Central,Accessories,Laptop Stand,2,47.67,21.13,Consumer
ORD00093,2025-03-18,North,Furniture,Standing Desk,5,395.45,243.33,Consumer
ORD00094,2026-04-10,North,Office Supplies,Desk Organizer,3,25.86,10.31,Consumer
ORD00095,2025-04-28,East,Furniture,Desk Lamp,6,52.1,22.06,Corporate
ORD00096,2025-10-23,East,Furniture,Bookshelf,3,153.69,94.38,Consumer
ORD00097,2026-05-21,East,Accessories,Backpack,8,72.55,31.88,Corporate
ORD00098,2025-08-23,Central,Electronics,Wireless Mouse,1,28.0,12.45,Small Business
ORD00099,2025-06-29,East,Office Supplies,Notebook Set,6,15.3,6.16,Corporate
ORD00100,2026-04-27,South,Home & Kitchen,Coffee Maker,1,103.7,55.6,Consumer
ORD00101,2026-02-15,West,Home & Kitchen,Storage Set,9,31.88,14.74,Corporate
ORD00102,2026-06-11,West,Electronics,USB-C Hub,5,38.47,18.18,Consumer
ORD00103,2026-05-26,West,Accessories,Cable Organizer,5,14.6,4.84,Corporate
ORD00104,2026-05-12,North,Office Supplies,Pen Pack,4,9.56,2.97,Small Business
ORD00105,2026-02-22,North,Electronics,Webcam,2,72.88,37.65,Small Business
ORD00106,2025-10-26,East,Furniture,Desk Lamp,4,N/A,22.58,Consumer
ORD00107,2026-01-28,North,Accessories,Laptop Stand,4,53.55,21.69,Corporate
ORD00108,2026-06-04,South,Home & Kitchen,Storage Set,3,36.97,15.38,Consumer
ORD00109,2026-04-03,East,Home & Kitchen,Electric Kettle,5,55.77,27.97,Consumer
ORD00110,2025-09-02,East,Office Supplies,Printer Paper,4,10.22,4.19,Consumer
ORD00111,2025-06-05,East,Home & Kitchen,Water Bottle,5,24.49,7.95,Consumer
ORD00112,2025-04-13,East,Electronics,USB-C Hub,2,38.08,19.67,Consumer
ORD00113,2026-04-26,West,Furniture,Office Chair,5,195.83,115.86,Consumer
ORD00114,2025-11-21,West,Office Supplies,Pen Pack,8,8.93,2.86,Small Business
ORD00115,2025-04-03,East,Office Supplies,Printer Paper,1,11.1,4.16,Consumer
ORD00116,2025-11-29,West,Electronics,Wireless Mouse,3,23.67,11.78,Consumer
ORD00117,2025-06-29,North,Furniture,Standing Desk,4,397.62,261.58,Small Business
ORD00118,2025-09-18,East,Furniture,Desk Lamp,9,52.81,23.88,Corporate
ORD00119,2026-03-29,Central,Furniture,Office Chair,5,193.84,112.58,Small Business
ORD00120,2025-11-06,North,Office Supplies,Pen Pack,4,7.93,3.0,Consumer
ORD00121,2025-01-23,Central,Office Supplies,Desk Organizer,6,22.12,10.62,Corporate
ORD00122,2026-05-24,Central,Electronics,Webcam,4,74.98,38.84,Small Business
ORD00123,2025-05-21,West,Furniture,Bookshelf,1,142.36,88.64,Small Business
ORD00124,2025-05-15,North,Accessories,Cable Organizer,4,14.33,4.84,Consumer
ORD00125,2026-06-28,East,Accessories,Cable Organizer,2,14.57,5.29,Consumer
ORD00126,2025-12-13,West,Home & Kitchen,Storage Set,1,31.79,16.13,Consumer
ORD00127,2025-04-03,West,Home & Kitchen,Storage Set,5,32.12,14.97,Consumer
ORD00128,2026-01-16,North,Office Supplies,Pen Pack,1,9.4,3.22,Consumer
ORD00129,2025-03-06,West,Office Supplies,Printer Paper,3,11.55,3.86,Consumer
ORD00130,2025-11-08,Central,Electronics,Wireless Mouse,2,25.94,11.61,Consumer
ORD00131,2025-06-08,Central,Accessories,Cable Organizer,9,15.65,5.36,Corporate
ORD00132,2026-01-15,South,Office Supplies,Notebook Set,2,17.46,5.78,Consumer
ORD00133,2025-03-04,South,Office Supplies,Desk Organizer,1,26.64,10.57,Consumer
ORD00134,2025-01-22,North,Electronics,Mechanical Keyboard,2,91.58,46.88,Consumer
ORD00135,2025-08-10,West,Accessories,Laptop Stand,2,52.81,22.6,Consumer
ORD00136,2025-05-14,East,Office Supplies,Printer Paper,3,11.57,3.81,Corporate
ORD00137,2025-09-01,East,Electronics,24-inch Monitor,3,195.4,151.73,Consumer
ORD00138,2025-03-07,East,Accessories,Laptop Stand,10,50.9,22.19,Corporate
ORD00139,2026-06-18,South,Furniture,Office Chair,2,172.45,113.37,Corporate
ORD00140,2025-04-21,East,Home & Kitchen,Water Bottle,2,24.2,7.93,Small Business
ORD00141,2025-05-10,South,Furniture,Office Chair,10,196.55,111.95,Corporate
ORD00142,2025-10-29,East,Accessories,Backpack,3,73.35,29.91,Corporate
ORD00143,2025-08-09,East,Accessories,Backpack,7,67.17,31.28,Small Business
ORD00144,2025-11-17,East,Home & Kitchen,Coffee Maker,7,99.97,58.2,Corporate
ORD00145,2025-04-06,East,Electronics,Wireless Mouse,7,27.06,12.27,Corporate
ORD00146,2025-12-04,West,Accessories,Backpack,4,74.13,32.36,Consumer
ORD00147,2025-12-27,North,Accessories,Cable Organizer,2,14.36,4.9,Consumer
ORD00148,2025-04-28,West,Accessories,Cable Organizer,8,16.34,5.38,Corporate
ORD00149,2025-01-27,West,Accessories,Backpack,6,62.95,30.55,Corporate
ORD00150,2025-12-26,North,Office Supplies,Desk Organizer,7,22.35,10.46,Small Business
ORD00151,2025-08-09,South,Electronics,Webcam,2,71.57,40.71,Consumer
ORD00152,2025-03-28,Central,Accessories,Backpack,5,63.24,29.78,Consumer
ORD00153,2026-05-13,West,Home & Kitchen,Water Bottle,2,23.56,7.72,Consumer
ORD00154,2025-10-18,West,Home & Kitchen,Coffee Maker,10,100.08,53.53,Corporate
ORD00155,2025-01-08,North,Home & Kitchen,Coffee Maker,3,101.92,55.31,Small Business
ORD00156,2026-05-25,West,Electronics,Wireless Mouse,4,25.66,11.76,Consumer
ORD00157,2025-12-29,North,Accessories,Backpack,1,62.17,31.3,Small Business
ORD00158,2026-02-19,West,Office Supplies,Pen Pack,1,9.01,3.23,Consumer
ORD00159,2026-01-06,North,Furniture,Desk Lamp,4,48.34,23.05,Small Business
ORD00160,2025-11-14,West,Electronics,USB-C Hub,2,33.87,19.61,Consumer
ORD00161,2025-12-26,West,Furniture,Bookshelf,4,128.99,85.28,Corporate
ORD00162,2025-03-19,North,Accessories,Laptop Stand,9,49.63,22.51,Corporate
ORD00163,2025-11-27,Central,Accessories,Cable Organizer,4,14.56,5.05,Corporate
ORD00164,2025-12-27,East,Office Supplies,Notebook Set,4,13.78,5.99,Consumer
ORD00165,2026-06-04,South,Electronics,Webcam,2,72.72,41.16,Corporate
ORD00166,2026-05-03,East,Furniture,Bookshelf,8,136.4,,Small Business
ORD00167,2026-06-01,West,Office Supplies,Notebook Set,4,17.89,6.11,Consumer
ORD00168,2026-01-08,South,Accessories,Laptop Stand,4,52.67,22.84,Consumer
ORD00169,2025-03-09,South,Electronics,24-inch Monitor,8,205.13,151.39,Corporate
ORD00170,2025-12-08,North,Accessories,Laptop Stand,7,46.49,22.78,Corporate
ORD00171,2025-11-14,East,Furniture,Office Chair,7,196.86,116.16,Corporate
ORD00172,2026-03-10,East,Accessories,Laptop Stand,3,46.85,21.51,Consumer
ORD00173,2025-08-20,Central,Home & Kitchen,Electric Kettle,3,56.62,26.97,Consumer
ORD00174,2026-06-24,North,Accessories,Backpack,5,64.34,30.97,Consumer
ORD00175,2025-06-19,West,Furniture,Standing Desk,3,411.56,250.12,Consumer
ORD00176,2026-04-05,South,Home & Kitchen,Storage Set,4,37.43,14.63,Consumer
ORD00177,2026-04-18,West,Accessories,Cable Organizer,10,15.38,5.38,Corporate
ORD00178,2025-09-14,,Furniture,Standing Desk,3,402.05,245.65,Consumer
ORD00179,2025-10-19,North,Accessories,Laptop Stand,4,53.95,21.32,Consumer
ORD00180,2025-08-16,West,Home & Kitchen,Coffee Maker,1,95.28,56.09,Small Business
ORD00181,2026-01-31,Central,Office Supplies,Printer Paper,1,10.82,3.85,Consumer
ORD00182,2025-05-21,North,Office Supplies,Printer Paper,8,11.65,3.87,Small Business
ORD00183,2025-01-06,Central,Home & Kitchen,Water Bottle,2,23.91,8.17,Consumer
ORD00184,2026-03-10,North,Accessories,Backpack,3,64.22,30.41,
ORD00185,2025-03-06,North,Accessories,Cable Organizer,1,15.7,5.12,Small Business
ORD00186,2026-03-16,North,Furniture,Bookshelf,5,145.48,91.2,Consumer
ORD00187,2026-01-05,North,Electronics,Webcam,5,77.56,39.62,Consumer
ORD00188,2026-04-27,North,Electronics,USB-C Hub,3,36.89,18.09,Consumer
ORD00189,2025-09-04,West,Electronics,24-inch Monitor,11,224.08,144.02,Corporate
ORD00190,2025-12-13,West,Electronics,24-inch Monitor,4,215.22,146.77,Consumer
ORD00191,2026-04-14,North,Furniture,Office Chair,2,202.97,111.0,Consumer
ORD00192,2026-04-30,South,Office Supplies,Pen Pack,5,8.79,3.19,Corporate
ORD00193,2025-10-07,North,Electronics,24-inch Monitor,4,224.42,154.61,Consumer
ORD00194,2025-07-11,East,Home & Kitchen,Storage Set,5,33.09,14.41,Consumer
ORD00195,2026-03-17,West,Home & Kitchen,Coffee Maker,5,93.5,53.78,Small Business
ORD00196,2026-04-02,West,Office Supplies,Desk Organizer,4,23.77,9.56,Consumer
ORD00197,2025-10-09,West,Office Supplies,Pen Pack,2,8.42,3.1,Corporate
ORD00198,2025-02-01,North,Office Supplies,Printer Paper,9,10.2,3.83,Corporate
ORD00199,2026-01-28,Central,Office Supplies,Desk Organizer,2,25.34,10.73,Consumer
ORD00200,2025-03-20,East,Office Supplies,Pen Pack,4,8.85,2.96,Consumer
ORD00201,2025-07-10,East,Electronics,Wireless Mouse,5,23.59,12.61,Consumer
ORD00202,2025-10-20,West,Home & Kitchen,Electric Kettle,4,49.12,29.7,Small Business
ORD00203,2026-04-01,Central,Home & Kitchen,Electric Kettle,7,54.79,29.18,Corporate
ORD00204,2025-10-25,Central,Accessories,Backpack,3,73.35,31.5,Small Business
ORD00205,2025-05-23,South,Electronics,Mechanical Keyboard,3,87.62,47.9,Consumer
ORD00206,2025-03-30,North,Accessories,Laptop Stand,4,50.23,23.1,Consumer
ORD00207,2025-05-09,Central,Accessories,Laptop Stand,9,49.65,22.38,Corporate
ORD00208,2025-05-13,East,Furniture,Standing Desk,1,423.65,259.43,Small Business
ORD00209,2025-06-15,South,Office Supplies,Printer Paper,7,12.2,4.07,Corporate
ORD00210,2025-09-14,North,Office Supplies,Notebook Set,5,15.12,5.94,Small Business
ORD00211,2026-05-30,West,Accessories,Laptop Stand,11,46.59,22.78,Corporate
ORD00212,2025-02-12,West,Accessories,Cable Organizer,1,16.65,5.25,Consumer
ORD00213,2026-03-03,West,Office Supplies,Printer Paper,5,10.76,4.3,Consumer
ORD00214,2026-02-20,South,Home & Kitchen,Electric Kettle,1,49.48,28.11,Consumer
ORD00215,2025-12-15,West,Home & Kitchen,Electric Kettle,3,55.34,29.73,Consumer
ORD00216,2026-06-12,East,Furniture,Bookshelf,4,136.95,88.74,Consumer
ORD00217,2025-02-21,South,Furniture,Office Chair,5,185.67,120.42,Consumer
ORD00218,2025-11-17,North,Furniture,Bookshelf,5,139.55,93.66,Consumer
ORD00219,2026-06-02,East,Electronics,USB-C Hub,5,37.64,18.17,Consumer
ORD00220,2025-10-20,East,Home & Kitchen,Water Bottle,7,20.83,7.88,Small Business
ORD00221,2026-01-10,North,Office Supplies,Pen Pack,5,8.63,3.07,Consumer
ORD00222,2026-06-01,East,Electronics,USB-C Hub,5,40.13,18.34,Consumer
ORD00223,2026-01-18,West,Electronics,USB-C Hub,3,40.7,18.54,Consumer
ORD00224,2026-05-28,North,Accessories,Cable Organizer,3,16.21,5.09,Consumer
ORD00225,2025-12-02,Central,Furniture,Standing Desk,4,405.51,266.76,Consumer
ORD00226,2025-11-03,East,Office Supplies,Pen Pack,3,9.09,3.23,Consumer
ORD00227,2026-05-01,South,Electronics,Webcam,11,74.56,40.71,Corporate
ORD00228,2025-06-24,East,Accessories,Cable Organizer,8,14.24,5.19,Corporate
ORD00229,2025-04-23,North,Electronics,Webcam,4,68.42,40.55,Consumer
ORD00230,2025-03-05,West,Home & Kitchen,Water Bottle,5,21.67,8.29,Consumer
ORD00231,2025-11-18,Central,Accessories,Cable Organizer,5,14.49,4.98,Consumer
ORD00232,2025-07-16,Central,Office Supplies,Pen Pack,3,8.68,3.23,Consumer
ORD00233,2025-08-01,West,Office Supplies,Desk Organizer,4,23.75,10.71,Consumer
ORD00234,2025-05-05,East,Office Supplies,Desk Organizer,4,26.01,10.74,Consumer
ORD00235,2025-02-13,South,Furniture,Bookshelf,7,160.2,91.1,Corporate
ORD00236,2025-07-26,West,Home & Kitchen,Electric Kettle,5,55.08,27.1,Consumer
ORD00237,2025-09-03,South,Accessories,Backpack,10,65.63,30.39,Corporate
ORD00238,2025-12-05,West,Electronics,USB-C Hub,2,34.75,19.41,Consumer
ORD00239,2026-05-04,West,Home & Kitchen,Water Bottle,6,21.65,8.27,Corporate
ORD00240,2025-08-26,East,Electronics,Webcam,2,79.39,37.94,Corporate
ORD00241,2026-02-11,West,Furniture,Office Chair,3,202.64,106.53,Consumer
ORD00242,2025-04-20,Central,Accessories,Backpack,4,76.01,31.64,Consumer
ORD00243,2026-06-01,East,Home & Kitchen,Electric Kettle,1,51.28,29.26,Consumer
ORD00244,2025-01-15,West,Office Supplies,Printer Paper,11,11.6,3.9,Corporate
ORD00245,2026-02-20,West,Accessories,Backpack,1,68.01,29.83,Consumer
ORD00246,2025-11-28,Central,Furniture,Desk Lamp,4,46.21,24.1,Consumer
ORD00247,2025-09-25,West,Office Supplies,Notebook Set,2,16.86,6.06,Corporate
ORD00248,2026-05-30,Central,Furniture,Desk Lamp,5,50.79,23.76,Small Business
ORD00249,2025-08-15,South,Office Supplies,Desk Organizer,2,24.26,10.79,Consumer
ORD00250,2026-04-28,West,Office Supplies,Pen Pack,5,9.65,3.12,Corporate
ORD00251,2026-06-23,East,Accessories,Laptop Stand,3,54.07,21.22,Corporate
ORD00252,2025-07-27,East,Accessories,Backpack,3,74.18,31.23,Consumer
ORD00253,2025-04-04,Central,Furniture,Desk Lamp,1,48.51,23.38,Consumer
ORD00254,2026-04-19,West,Home & Kitchen,Coffee Maker,1,94.92,59.14,Consumer
ORD00255,2025-02-16,East,Furniture,Office Chair,10,206.98,120.01,Corporate
ORD00256,2025-02-02,South,Electronics,USB-C Hub,2,40.78,20.47,Consumer
ORD00257,2026-01-27,East,Home & Kitchen,Storage Set,7,33.83,15.58,Small Business
ORD00258,2025-12-23,North,Accessories,Laptop Stand,7,46.35,22.98,Small Business
ORD00259,2025-11-02,East,Electronics,Wireless Mouse,8,23.73,12.68,Corporate
ORD00260,2025-10-10,North,Office Supplies,Printer Paper,2,10.19,4.14,Small Business
ORD00261,2025-09-04,North,Accessories,Laptop Stand,1,49.46,22.82,Consumer
ORD00262,2025-02-15,East,Electronics,Mechanical Keyboard,2,91.02,50.44,Consumer
ORD00263,2025-08-28,West,Furniture,Bookshelf,7,150.15,92.44,Corporate
ORD00264,2025-11-06,Central,Office Supplies,Printer Paper,4,10.54,3.94,Small Business
ORD00265,2025-06-29,West,Accessories,Backpack,4,N/A,30.84,Consumer
ORD00266,2026-03-03,East,Home & Kitchen,Storage Set,2,36.41,15.17,Consumer
ORD00267,2025-05-28,West,Furniture,Bookshelf,7,161.47,89.98,Small Business
ORD00268,2025-09-06,South,Furniture,Desk Lamp,1,53.01,24.38,Consumer
ORD00269,2025-07-15,North,Electronics,Webcam,5,74.92,41.48,Consumer
ORD00270,2026-05-06,North,Furniture,Standing Desk,5,433.45,242.76,Small Business
ORD00271,2026-05-06,Central,Furniture,Office Chair,5,184.88,109.88,Corporate
ORD00272,2026-01-25,East,Office Supplies,Desk Organizer,6,23.34,10.17,Corporate
ORD00273,2025-04-11,,Home & Kitchen,Water Bottle,7,24.26,7.99,Corporate
ORD00274,2025-08-15,West,Home & Kitchen,Coffee Maker,5,105.16,57.42,Consumer
ORD00275,2025-06-06,North,Home & Kitchen,Storage Set,5,36.95,15.22,Consumer
ORD00276,2026-05-16,Central,Office Supplies,Desk Organizer,9,24.29,10.45,Corporate
ORD00277,2025-05-24,West,Office Supplies,Printer Paper,5,12.3,4.3,Consumer
ORD00278,2025-03-18,Central,Accessories,Laptop Stand,2,49.12,23.31,Corporate
ORD00279,2025-06-04,North,Furniture,Office Chair,3,172.44,115.69,Consumer
ORD00280,2026-05-15,North,Accessories,Cable Organizer,4,13.84,5.09,Consumer
ORD00281,2025-01-18,East,Office Supplies,Desk Organizer,8,25.95,10.68,Corporate
ORD00282,2026-06-21,North,Electronics,Wireless Mouse,5,24.26,11.95,Consumer
ORD00283,2026-01-18,Central,Home & Kitchen,Coffee Maker,2,106.21,54.84,Consumer
ORD00284,2025-04-06,East,Electronics,Wireless Mouse,4,23.28,11.41,Consumer
ORD00285,2026-05-27,Central,Furniture,Office Chair,7,191.14,118.89,Corporate
ORD00286,2025-02-13,South,Electronics,Webcam,8,70.14,41.74,Small Business
ORD00287,2025-07-03,Central,Office Supplies,Notebook Set,2,16.6,6.29,Consumer
ORD00288,2025-11-03,North,Home & Kitchen,Coffee Maker,4,94.08,57.14,Consumer
ORD00289,2026-05-28,West,Furniture,Office Chair,1,186.37,118.61,Consumer
ORD00290,2025-12-01,North,Office Supplies,Pen Pack,4,9.11,2.99,Consumer
ORD00291,2026-01-25,North,Home & Kitchen,Electric Kettle,5,55.26,26.9,Corporate
ORD00292,2025-06-07,West,Furniture,Desk Lamp,1,45.04,24.67,Consumer
ORD00293,2025-10-04,North,Home & Kitchen,Storage Set,4,34.33,15.33,Consumer
ORD00294,2025-01-27,North,Home & Kitchen,Coffee Maker,11,98.76,55.56,Corporate
ORD00295,2025-10-26,East,Home & Kitchen,Coffee Maker,10,104.6,60.32,Corporate
ORD00296,2025-06-23,West,Accessories,Backpack,3,66.66,31.44,Consumer
ORD00297,2026-03-22,South,Electronics,Mechanical Keyboard,1,84.34,51.49,Consumer
ORD00298,2026-04-14,North,Home & Kitchen,Electric Kettle,4,51.3,28.86,Consumer
ORD00299,2025-12-09,East,Office Supplies,Pen Pack,3,8.55,3.09,Small Business
ORD00300,2025-07-01,Central,Home & Kitchen,Storage Set,5,36.28,15.48,Small Business
ORD00301,2025-11-30,South,Accessories,Laptop Stand,8,44.77,23.57,Corporate
ORD00302,2025-01-28,Central,Accessories,Laptop Stand,2,49.38,21.73,Consumer
ORD00303,2026-05-27,North,Electronics,USB-C Hub,3,39.97,19.82,Consumer
ORD00304,2026-04-05,Central,Home & Kitchen,Coffee Maker,4,97.55,59.92,Consumer
ORD00305,2026-01-04,West,Home & Kitchen,Coffee Maker,11,99.53,53.82,Corporate
ORD00306,2025-06-20,West,Furniture,Bookshelf,4,161.44,87.39,Consumer
ORD00307,2025-01-11,North,Home & Kitchen,Coffee Maker,5,98.0,58.21,Consumer
ORD00308,2026-01-19,South,Furniture,Desk Lamp,11,50.79,22.3,Corporate
ORD00309,2025-04-18,South,Electronics,USB-C Hub,2,35.84,20.37,Small Business
ORD00310,2025-11-16,South,Furniture,Bookshelf,10,139.12,89.05,Corporate
ORD00311,2025-03-10,South,Home & Kitchen,Storage Set,3,31.43,14.92,Corporate
ORD00312,not_available,East,Electronics,Mechanical Keyboard,7,87.72,51.58,Corporate
ORD00313,2025-07-08,North,Furniture,Desk Lamp,8,44.44,23.69,Corporate
ORD00314,2026-03-16,South,Furniture,Desk Lamp,5,46.83,23.95,Corporate
ORD00315,2025-04-15,West,Electronics,Webcam,3,70.93,39.37,Consumer
ORD00316,2026-06-25,Central,Office Supplies,Pen Pack,4,9.38,3.08,Consumer
ORD00317,2026-04-14,West,Office Supplies,Desk Organizer,6,26.49,10.27,Corporate
ORD00318,2025-05-01,South,Furniture,Bookshelf,3,153.51,89.44,Consumer
